Value,Classvalue,Class_name,Red,Green,Blue,Count,Area_km2
0,1,Vegetation,111,194,50,554425.000000000000000,498.982500000000016
1,2,Water body,68,101,137,347704.000000000000000,312.933600000000013
2,3,Built up,255,85,0,631051.000000000000000,567.945900000000051
