Value,Classvalue,Class_name,Red,Green,Blue,Count,Area_km2
0,1,Vegetation,111,194,50,44157.000000000000000,39.741300000000003
1,2,Water body,68,101,137,1126.000000000000000,1.013400000000000
2,3,Built up,255,85,0,84863.000000000000000,76.376700000000000
