Value,Classvalue,Class_name,Red,Green,Blue,Count,Area_km2
0,1,Vegetation,111,194,50,59266.000000000000000,53.339399999999998
1,2,Water body,68,101,137,1096.000000000000000,0.986400000000000
2,3,Built up,255,85,0,69781.000000000000000,62.802900000000001
