Value,Classvalue,Class_name,Red,Green,Blue,Count,Area_km2
0,1,Vegetation,111,194,50,67525.000000000000000,60.772500000000001
1,2,Water body,68,101,137,1738.000000000000000,1.564200000000000
2,3,Built up,255,85,0,61772.000000000000000,55.594799999999999
