Value,Classvalue,Class_name,Red,Green,Blue,Count,Area_km2
0,1,Vegetation,111,194,50,60455.000000000000000,54.409500000000001
1,2,Water body,68,101,137,900.000000000000000,0.810000000000000
2,3,Built up,255,85,0,68801.000000000000000,61.920900000000003
